 0.00000000  0.57501530  3.42374700  4.71212700  5.00885900  7.94052400  0.20000000 15.00000000  0.20000000  0.60000000  0.00000000  0.69966340  1.00000000  0.66127980  1.00000000  0.00000000  0.20000000  0.20000000  0.00000000  1.00000000 35.00000000 30.00000000  0.40000000  0.40000000  0.00004287  0.00047151  0.00000000  0.00089680 35.00000000  1.00000000  0.60000000  0.00000000  0.00000000  1.00000000  1.00000000  0.00000000  1.00000000  1.00000000  0.80000000  0.40000000  0.00000000  2.00000000  0.20000000  0.40000000  0.40000000  0.56827900  0.40000000  1.00000000  0.80000000  1.00000000 10.00000000 19.62361000  0.60000000  5.46654000 35.00000000  2.00000000  0.14500000  0.45000000  2.45000000  2.00000000  0.40000000  0.60000000  0.00000000  0.40000000  0.20000000  0.20000000  0.60000000  0.80000000  0.80000000  0.80000000  0.40000000  0.60000000
 0.00000000  0.57501530  3.42374700  4.71212700  5.00885900  7.94052400  0.20000000 15.00000000  0.20000000  0.60000000  0.00000000  0.69966340  1.00000000  0.66127980  1.00000000  0.00000000  0.20000000  0.20000000  0.00000000  1.00000000 35.00000000 30.00000000  0.40000000  0.40000000  0.00004287  0.00047151  0.60000000  0.00089680 35.00000000  1.00000000  0.60000000  0.00000000  0.00000000  1.00000000  1.00000000  0.00000000  1.00000000  1.00000000  0.80000000  0.40000000  0.00000000  2.00000000  0.20000000  0.40000000  0.40000000  0.56827900  0.40000000  1.00000000  0.80000000  1.00000000 10.00000000 19.62361000  0.60000000  5.46654000 35.00000000  2.00000000  0.14500000  0.45000000  2.45000000  2.00000000  0.40000000  0.60000000  0.00000000  0.40000000  0.20000000  0.20000000  0.60000000  0.80000000  0.80000000  0.80000000  0.40000000  0.60000000
 0.00000000  0.57501530  3.42374700  4.71212700  5.00885900  7.94052400  0.20000000 15.00000000  0.20000000  0.60000000  0.00000000  0.69966340  1.00000000  0.66127980  1.00000000  0.00000000  0.20000000  0.20000000  0.00000000  1.00000000 35.00000000 30.00000000  0.40000000  0.40000000  0.00004287  0.00047151  0.60000000  0.00089680 35.00000000  1.00000000  0.60000000  0.00000000  0.00000000  1.00000000  1.00000000  0.00000000  1.00000000  1.00000000  0.80000000  0.40000000  0.00000000  2.00000000  0.20000000  0.40000000  0.40000000  0.56827900  0.40000000  1.00000000  0.20000000  1.00000000 10.00000000 19.62361000  0.60000000  5.46654000 35.00000000  2.00000000  0.14500000  0.45000000  2.45000000  2.00000000  0.40000000  0.60000000  0.00000000  0.40000000  0.20000000  0.20000000  0.60000000  0.80000000  0.80000000  0.80000000  0.40000000  0.60000000
 0.00000000  0.57501530  3.42374700  4.71212700  5.00885900  7.94052400  0.20000000 15.00000000  0.20000000  0.00000000  0.00000000  0.69966340  1.00000000  0.66127980  1.00000000  0.00000000  0.20000000  0.20000000  0.00000000  1.00000000 35.00000000 30.00000000  0.40000000  0.40000000  0.00004287  0.00047151  0.60000000  0.00089680 35.00000000  1.00000000  0.60000000  0.00000000  0.00000000  1.00000000  1.00000000  0.00000000  1.00000000  1.00000000  0.80000000  0.40000000  0.00000000  2.00000000  0.20000000  0.40000000  0.40000000  0.56827900  0.40000000  1.00000000  0.20000000  1.00000000 10.00000000 19.62361000  0.60000000  5.46654000 35.00000000  2.00000000  0.14500000  0.45000000  2.45000000  2.00000000  0.40000000  0.60000000  0.00000000  0.40000000  0.20000000  0.20000000  0.60000000  0.80000000  0.80000000  0.80000000  0.40000000  0.60000000
 0.00000000  0.57501530  3.42374700  4.71212700  5.00885900  7.94052400  0.20000000 15.00000000  0.20000000  0.00000000  0.00000000  0.69966340  1.00000000  0.66127980  1.00000000  0.00000000  0.20000000  0.20000000  0.00000000  1.00000000 35.00000000 30.00000000  0.40000000  0.40000000  0.00004287  0.00047151  0.60000000  0.00089680 35.00000000  1.00000000  0.60000000  0.00000000  0.00000000  1.00000000  1.00000000  0.00000000  1.00000000  1.00000000  0.20000000  0.40000000  0.00000000  2.00000000  0.20000000  0.40000000  0.40000000  0.56827900  0.40000000  1.00000000  0.20000000  1.00000000 10.00000000 19.62361000  0.60000000  5.46654000 35.00000000  2.00000000  0.14500000  0.45000000  2.45000000  2.00000000  0.40000000  0.60000000  0.00000000  0.40000000  0.20000000  0.20000000  0.60000000  0.80000000  0.80000000  0.80000000  0.40000000  0.60000000
 0.00000000  0.57501530  3.42374700  4.71212700  5.00885900  7.94052400  0.20000000 15.00000000  0.20000000  0.00000000  0.00000000  0.69966340  1.00000000  0.66127980  1.00000000  0.00000000  0.20000000  0.20000000  0.00000000  1.00000000 35.00000000 30.00000000  0.40000000  0.40000000  0.00004287  0.00047151  0.60000000  0.00089680 35.00000000  1.00000000  0.60000000  0.00000000  0.00000000  1.00000000  1.00000000  0.00000000  1.00000000  1.00000000  0.20000000  0.40000000  0.00000000  2.00000000  0.20000000  0.40000000  1.00000000  0.56827900  0.40000000  1.00000000  0.20000000  1.00000000 10.00000000 19.62361000  0.60000000  5.46654000 35.00000000  2.00000000  0.14500000  0.45000000  2.45000000  2.00000000  0.40000000  0.60000000  0.00000000  0.40000000  0.20000000  0.20000000  0.60000000  0.80000000  0.80000000  0.80000000  0.40000000  0.60000000
 0.00000000  0.57501530  3.42374700  4.71212700  5.00885900  7.94052400  0.20000000 15.00000000  0.20000000  0.00000000  0.00000000  0.69966340  1.00000000  0.66127980  1.00000000  0.00000000  0.20000000  0.20000000  0.00000000  1.00000000 35.00000000 30.00000000  0.40000000  0.40000000  0.00004287  0.00047151  0.60000000  0.00089680 35.00000000  1.00000000  0.60000000  0.00000000  0.00000000  1.00000000  1.00000000  0.00000000  1.00000000  1.00000000  0.20000000  0.40000000  0.00000000  2.00000000  0.20000000  0.40000000  1.00000000  0.56827900  0.40000000  1.00000000  0.20000000  1.00000000 10.00000000 19.62361000  0.60000000  5.46654000 35.00000000  2.00000000  0.14500000  0.45000000  2.45000000  2.00000000  0.40000000  0.60000000  0.00000000  1.00000000  0.20000000  0.20000000  0.60000000  0.80000000  0.80000000  0.80000000  0.40000000  0.60000000
 0.00000000  0.57501530  3.42374700  4.71212700  5.00885900  7.94052400  0.20000000 15.00000000  0.20000000  0.00000000  0.00000000  0.69966340  1.00000000  0.66127980  1.00000000  0.00000000  0.20000000  0.20000000  0.00000000  1.00000000 35.00000000 30.00000000  0.40000000  0.40000000  0.00004287  0.00047151  0.60000000  0.00089680 35.00000000  1.00000000  0.60000000  0.00000000  0.00000000  1.00000000  1.00000000  0.00000000  1.00000000  1.00000000  0.20000000  0.40000000  0.60000000  2.00000000  0.20000000  0.40000000  1.00000000  0.56827900  0.40000000  1.00000000  0.20000000  1.00000000 10.00000000 19.62361000  0.60000000  5.46654000 35.00000000  2.00000000  0.14500000  0.45000000  2.45000000  2.00000000  0.40000000  0.60000000  0.00000000  1.00000000  0.20000000  0.20000000  0.60000000  0.80000000  0.80000000  0.80000000  0.40000000  0.60000000
 0.00000000  0.57501530  3.42374700  4.71212700  5.00885900  7.94052400  0.80000000 15.00000000  0.20000000  0.00000000  0.00000000  0.69966340  1.00000000  0.66127980  1.00000000  0.00000000  0.20000000  0.20000000  0.00000000  1.00000000 35.00000000 30.00000000  0.40000000  0.40000000  0.00004287  0.00047151  0.60000000  0.00089680 35.00000000  1.00000000  0.60000000  0.00000000  0.00000000  1.00000000  1.00000000  0.00000000  1.00000000  1.00000000  0.20000000  0.40000000  0.60000000  2.00000000  0.20000000  0.40000000  1.00000000  0.56827900  0.40000000  1.00000000  0.20000000  1.00000000 10.00000000 19.62361000  0.60000000  5.46654000 35.00000000  2.00000000  0.14500000  0.45000000  2.45000000  2.00000000  0.40000000  0.60000000  0.00000000  1.00000000  0.20000000  0.20000000  0.60000000  0.80000000  0.80000000  0.80000000  0.40000000  0.60000000
 0.00000000  0.57501530  3.42374700  4.71212700  5.00885900  7.94052400  0.80000000 15.00000000  0.20000000  0.00000000  0.00000000  0.69966340  1.00000000  0.66127980  1.00000000  0.00000000  0.20000000  0.20000000  0.00000000  1.00000000 35.00000000 30.00000000  1.00000000  0.40000000  0.00004287  0.00047151  0.60000000  0.00089680 35.00000000  1.00000000  0.60000000  0.00000000  0.00000000  1.00000000  1.00000000  0.00000000  1.00000000  1.00000000  0.20000000  0.40000000  0.60000000  2.00000000  0.20000000  0.40000000  1.00000000  0.56827900  0.40000000  1.00000000  0.20000000  1.00000000 10.00000000 19.62361000  0.60000000  5.46654000 35.00000000  2.00000000  0.14500000  0.45000000  2.45000000  2.00000000  0.40000000  0.60000000  0.00000000  1.00000000  0.20000000  0.20000000  0.60000000  0.80000000  0.80000000  0.80000000  0.40000000  0.60000000
 0.00000000  0.57501530  3.42374700  4.71212700  5.00885900  7.94052400  0.80000000 15.00000000  0.20000000  0.00000000  0.00000000  0.69966340  1.00000000  0.66127980  1.00000000  0.00000000  0.20000000  0.20000000  0.00000000  1.00000000 35.00000000 30.00000000  1.00000000  1.00000000  0.00004287  0.00047151  0.60000000  0.00089680 35.00000000  1.00000000  0.60000000  0.00000000  0.00000000  1.00000000  1.00000000  0.00000000  1.00000000  1.00000000  0.20000000  0.40000000  0.60000000  2.00000000  0.20000000  0.40000000  1.00000000  0.56827900  0.40000000  1.00000000  0.20000000  1.00000000 10.00000000 19.62361000  0.60000000  5.46654000 35.00000000  2.00000000  0.14500000  0.45000000  2.45000000  2.00000000  0.40000000  0.60000000  0.00000000  1.00000000  0.20000000  0.20000000  0.60000000  0.80000000  0.80000000  0.80000000  0.40000000  0.60000000
 0.00000000  0.57501530  3.42374700  4.71212700  5.00885900  7.94052400  0.80000000 15.00000000  0.20000000  0.00000000  0.60000000  0.69966340  1.00000000  0.66127980  1.00000000  0.00000000  0.20000000  0.20000000  0.00000000  1.00000000 35.00000000 30.00000000  1.00000000  1.00000000  0.00004287  0.00047151  0.60000000  0.00089680 35.00000000  1.00000000  0.60000000  0.00000000  0.00000000  1.00000000  1.00000000  0.00000000  1.00000000  1.00000000  0.20000000  0.40000000  0.60000000  2.00000000  0.20000000  0.40000000  1.00000000  0.56827900  0.40000000  1.00000000  0.20000000  1.00000000 10.00000000 19.62361000  0.60000000  5.46654000 35.00000000  2.00000000  0.14500000  0.45000000  2.45000000  2.00000000  0.40000000  0.60000000  0.00000000  1.00000000  0.20000000  0.20000000  0.60000000  0.80000000  0.80000000  0.80000000  0.40000000  0.60000000
