 model_time, Volume_sub_sim_0116, Volume_sub_obs_0116, Volume_sub_sim_0178, Volume_sub_obs_0178,
      92,    181.13,            ,    181.13,            ,
      93,    181.12,            ,    181.12,            ,
      94,    181.12,            ,    181.12,            ,
      95,    181.11,            ,    181.11,            ,
      96,    181.10,            ,    181.10,            ,
      97,    181.10,            ,    181.10,            ,
      98,    181.09,            ,    181.09,            ,
      99,    181.08,            ,    181.08,            ,
     100,    181.08,            ,    181.08,            ,
     101,    181.07,            ,    181.07,            ,
     102,    181.06,            ,    181.06,            ,
     103,    181.06,            ,    181.06,            ,
     104,    181.05,            ,    181.05,            ,
     105,    181.04,            ,    181.04,            ,
     106,    181.04,            ,    181.04,            ,
     107,    181.03,            ,    181.03,            ,
     108,    181.02,            ,    181.02,            ,
     109,    181.02,            ,    181.02,            ,
     110,    181.01,            ,    181.01,            ,
     111,    181.01,            ,    181.01,            ,
     112,    181.00,            ,    181.00,            ,
     113,    180.99,            ,    180.99,            ,
     114,    180.99,            ,    180.99,            ,
     115,    180.98,            ,    180.98,            ,
     116,    180.97,            ,    180.97,            ,
     117,    180.97,            ,    180.97,            ,
     118,    180.96,            ,    180.96,            ,
     119,    180.95,            ,    180.95,            ,
     120,    180.95,            ,    180.95,            ,
     121,    180.94,            ,    180.94,            ,
     122,    180.93,            ,    180.93,            ,
     123,    180.93,            ,    180.93,            ,
     124,    180.92,            ,    180.92,            ,
     125,    180.91,            ,    180.91,            ,
     126,    180.91,            ,    180.91,            ,
     127,    180.90,            ,    180.90,            ,
     128,    180.89,            ,    180.89,            ,
     129,    180.89,            ,    180.89,            ,
     130,    180.88,            ,    180.88,            ,
     131,    180.87,            ,    180.87,            ,
     132,    180.87,            ,    180.87,            ,
     133,    180.86,            ,    180.86,            ,
     134,    180.85,            ,    180.85,            ,
     135,    180.85,            ,    180.85,            ,
     136,    180.84,            ,    180.84,            ,
     137,    180.83,            ,    180.83,            ,
     138,    180.83,            ,    180.83,            ,
     139,    180.82,            ,    180.82,            ,
     140,    180.81,            ,    180.81,            ,
     141,    180.81,            ,    180.81,            ,
     142,    180.80,            ,    180.80,            ,
     143,    180.79,            ,    180.79,            ,
     144,    180.79,            ,    180.79,            ,
     145,    180.78,            ,    180.78,            ,
     146,    180.77,            ,    180.77,            ,
     147,    180.77,            ,    180.77,            ,
     148,    180.76,            ,    180.76,            ,
     149,    180.75,            ,    180.75,            ,
     150,    180.75,            ,    180.75,            ,
     151,    180.74,            ,    180.74,            ,
     152,    180.73,            ,    180.73,            ,
     153,    180.73,            ,    180.73,            ,
     154,    180.72,            ,    180.72,            ,
     155,    180.71,            ,    180.71,            ,
     156,    180.71,            ,    180.71,            ,
     157,    180.70,            ,    180.70,            ,
     158,    180.69,            ,    180.69,            ,
     159,    180.69,            ,    180.69,            ,
     160,    180.68,            ,    180.68,            ,
     161,    180.67,            ,    180.67,            ,
     162,    180.67,            ,    180.67,            ,
     163,    180.66,            ,    180.66,            ,
     164,    180.65,            ,    180.65,            ,
     165,    180.65,            ,    180.65,            ,
     166,    180.64,            ,    180.64,            ,
     167,    180.63,            ,    180.63,            ,
     168,    180.63,            ,    180.63,            ,
     169,    180.62,            ,    180.62,            ,
     170,    180.61,            ,    180.61,            ,
     171,    180.61,            ,    180.61,            ,
     172,    180.60,            ,    180.60,            ,
     173,    180.60,            ,    180.60,            ,
     174,    180.60,            ,    180.60,            ,
     175,    180.60,            ,    180.60,            ,
     176,    180.59,            ,    180.59,            ,
     177,    180.59,            ,    180.59,            ,
     178,    180.60,            ,    180.60,            ,
     179,    180.63,            ,    180.63,            ,
     180,    180.64,            ,    180.64,            ,
     181,    180.65,            ,    180.65,            ,
     182,    180.67,            ,    180.68,            ,
     183,    180.71,            ,    180.71,            ,
     184,    180.74,            ,    180.74,            ,
     185,    180.77,            ,    180.77,            ,
     186,    180.80,            ,    180.80,            ,
     187,    180.85,            ,    180.85,            ,
     188,    180.90,            ,    180.90,            ,
     189,    180.94,            ,    180.94,            ,
     190,    180.97,            ,    180.98,            ,
     191,    181.02,            ,    181.02,            ,
     192,    181.07,            ,    181.08,            ,
     193,    181.12,            ,    181.13,            ,
     194,    181.16,            ,    181.16,            ,
     195,    181.18,            ,    181.19,            ,
     196,    181.22,            ,    181.23,            ,
     197,    181.27,            ,    181.28,            ,
     198,    181.30,            ,    181.32,            ,
     199,    181.33,            ,    181.35,            ,
     200,    181.37,            ,    181.39,            ,
     201,    181.41,            ,    181.43,            ,
     202,    181.44,            ,    181.46,            ,
     203,    181.46,            ,    181.48,            ,
     204,    181.51,            ,    181.54,            ,
     205,    181.56,            ,    181.59,            ,
     206,    181.61,            ,    181.65,            ,
     207,    181.66,            ,    181.70,            ,
     208,    181.72,            ,    181.75,            ,
     209,    181.77,            ,    181.81,            ,
     210,    181.81,            ,    181.85,            ,
     211,    181.83,            ,    181.87,            ,
     212,    181.88,            ,    181.93,            ,
     213,    181.93,            ,    181.97,            ,
     214,    181.95,            ,    181.99,            ,
     215,    181.97,            ,    182.02,            ,
     216,    182.03,            ,    182.08,            ,
     217,    182.08,            ,    182.13,            ,
     218,    182.14,            ,    182.19,            ,
     219,    182.20,            ,    182.25,            ,
     220,    182.24,            ,    182.29,            ,
     221,    182.28,            ,    182.33,            ,
     222,    182.36,            ,    182.41,            ,
     223,    182.41,            ,    182.47,            ,
     224,    182.49,            ,    182.54,            ,
     225,    182.55,            ,    182.60,            ,
     226,    182.63,            ,    182.69,            ,
     227,    182.68,            ,    182.73,            ,
     228,    182.73,            ,    182.78,            ,
     229,    182.81,            ,    182.87,            ,
     230,    182.91,            ,    182.97,            ,
     231,    183.01,            ,    183.06,            ,
     232,    183.10,            ,    183.16,            ,
     233,    183.19,            ,    183.25,            ,
     234,    183.28,            ,    183.33,            ,
     235,    183.35,            ,    183.40,            ,
     236,    183.39,            ,    183.44,            ,
     237,    183.42,            ,    183.47,            ,
     238,    183.47,            ,    183.52,            ,
     239,    183.48,            ,    183.54,            ,
     240,    183.50,            ,    183.56,            ,
     241,    183.58,            ,    183.63,            ,
     242,    183.62,            ,    183.67,            ,
     243,    183.65,            ,    183.71,            ,
     244,    183.68,            ,    183.74,            ,
     245,    183.69,            ,    183.75,            ,
     246,    183.70,            ,    183.76,            ,
     247,    183.78,            ,    183.84,            ,
     248,    183.84,            ,    183.89,            ,
     249,    183.88,            ,    183.93,            ,
     250,    183.92,            ,    183.98,            ,
     251,    183.95,            ,    184.00,            ,
     252,    184.00,            ,    184.06,            ,
     253,    184.01,            ,    184.07,            ,
     254,    184.04,            ,    184.10,            ,
     255,    184.06,            ,    184.12,            ,
     256,    184.09,            ,    184.15,            ,
     257,    184.16,            ,    184.22,            ,
     258,    184.24,            ,    184.29,            ,
     259,    184.28,            ,    184.34,            ,
     260,    184.31,            ,    184.36,            ,
     261,    184.32,            ,    184.38,            ,
     262,    184.33,            ,    184.39,            ,
     263,    184.34,            ,    184.39,            ,
     264,    184.33,            ,    184.39,            ,
     265,    184.33,            ,    184.39,            ,
     266,    184.32,            ,    184.38,            ,
     267,    184.32,            ,    184.38,            ,
     268,    184.33,            ,    184.39,            ,
     269,    184.33,            ,    184.39,            ,
     270,    184.33,            ,    184.39,            ,
     271,    184.33,            ,    184.39,            ,
     272,    184.32,            ,    184.38,            ,
     273,    184.33,            ,    184.39,            ,
     274,    184.33,            ,    184.39,            ,
     275,    184.32,            ,    184.38,            ,
     276,    184.32,            ,    184.37,            ,
     277,    184.31,            ,    184.37,            ,
     278,    184.30,            ,    184.36,            ,
     279,    184.30,            ,    184.36,            ,
     280,    184.29,            ,    184.35,            ,
     281,    184.29,            ,    184.35,            ,
     282,    184.28,            ,    184.34,            ,
     283,    184.27,            ,    184.33,            ,
     284,    184.28,            ,    184.34,            ,
     285,    184.30,            ,    184.35,            ,
     286,    184.32,            ,    184.38,            ,
     287,    184.35,            ,    184.41,            ,
     288,    184.35,            ,    184.41,            ,
     289,    184.35,            ,    184.41,            ,
     290,    184.35,            ,    184.41,            ,
     291,    184.35,            ,    184.41,            ,
     292,    184.35,            ,    184.41,            ,
     293,    184.34,            ,    184.40,            ,
     294,    184.34,            ,    184.40,            ,
     295,    184.33,            ,    184.39,            ,
     296,    184.32,            ,    184.38,            ,
     297,    184.32,            ,    184.38,            ,
     298,    184.31,            ,    184.37,            ,
     299,    184.30,            ,    184.36,            ,
     300,    184.29,            ,    184.35,            ,
     301,    184.29,            ,    184.35,            ,
     302,    184.28,            ,    184.34,            ,
     303,    184.27,            ,    184.33,            ,
     304,    184.27,            ,    184.33,            ,
     305,    184.26,            ,    184.32,            ,
     306,    184.26,            ,    184.32,            ,
     307,    184.25,            ,    184.31,            ,
     308,    184.25,            ,    184.31,            ,
     309,    184.25,            ,    184.31,            ,
     310,    184.24,            ,    184.30,            ,
     311,    184.23,            ,    184.29,            ,
     312,    184.23,            ,    184.29,            ,
     313,    184.22,            ,    184.28,            ,
     314,    184.21,            ,    184.27,            ,
     315,    184.21,            ,    184.27,            ,
     316,    184.20,            ,    184.26,            ,
     317,    184.19,            ,    184.25,            ,
     318,    184.19,            ,    184.25,            ,
     319,    184.18,            ,    184.24,            ,
     320,    184.18,            ,    184.24,            ,
     321,    184.18,            ,    184.24,            ,
     322,    184.17,            ,    184.23,            ,
     323,    184.16,            ,    184.22,            ,
     324,    184.16,            ,    184.22,            ,
     325,    184.15,            ,    184.21,            ,
     326,    184.14,            ,    184.20,            ,
     327,    184.14,            ,    184.20,            ,
     328,    184.13,            ,    184.19,            ,
     329,    184.12,            ,    184.18,            ,
     330,    184.12,            ,    184.18,            ,
     331,    184.11,            ,    184.17,            ,
     332,    184.10,            ,    184.16,            ,
     333,    184.10,            ,    184.16,            ,
     334,    184.09,            ,    184.15,            ,
     335,    184.08,            ,    184.14,            ,
     336,    184.08,            ,    184.14,            ,
     337,    184.08,            ,    184.14,            ,
     338,    184.08,            ,    184.14,            ,
     339,    184.08,            ,    184.14,            ,
     340,    184.08,            ,    184.14,            ,
     341,    184.08,            ,    184.14,            ,
     342,    184.08,            ,    184.14,            ,
     343,    184.08,            ,    184.14,            ,
     344,    184.08,            ,    184.14,            ,
     345,    184.08,            ,    184.14,            ,
     346,    184.08,            ,    184.14,            ,
     347,    184.08,            ,    184.14,            ,
     348,    184.08,            ,    184.14,            ,
     349,    184.08,            ,    184.14,            ,
     350,    184.08,            ,    184.14,            ,
     351,    184.08,            ,    184.14,            ,
     352,    184.08,            ,    184.14,            ,
     353,    184.08,            ,    184.14,            ,
     354,    184.08,            ,    184.14,            ,
     355,    184.08,            ,    184.14,            ,
     356,    184.08,            ,    184.14,            ,
     357,    184.08,            ,    184.14,            ,
     358,    184.08,            ,    184.14,            ,
     359,    184.08,            ,    184.14,            ,
     360,    184.08,            ,    184.14,            ,
     361,    184.08,            ,    184.14,            ,
     362,    184.08,            ,    184.14,            ,
     363,    184.08,            ,    184.14,            ,
     364,    184.08,            ,    184.14,            ,
     365,    184.08,            ,    184.14,            ,
     366,    184.08,            ,    184.14,            ,
     367,    184.08,            ,    184.14,            ,
     368,    184.08,            ,    184.14,            ,
     369,    184.08,            ,    184.14,            ,
     370,    184.08,            ,    184.14,            ,
     371,    184.08,            ,    184.14,            ,
     372,    184.08,            ,    184.14,            ,
     373,    184.08,            ,    184.14,            ,
     374,    184.08,            ,    184.14,            ,
     375,    184.08,            ,    184.14,            ,
     376,    184.08,            ,    184.14,            ,
     377,    184.08,            ,    184.14,            ,
     378,    184.08,            ,    184.14,            ,
     379,    184.08,            ,    184.14,            ,
     380,    184.08,            ,    184.14,            ,
     381,    184.08,            ,    184.14,            ,
     382,    184.08,            ,    184.14,            ,
     383,    184.08,            ,    184.14,            ,
     384,    184.08,            ,    184.14,            ,
     385,    184.08,            ,    184.14,            ,
     386,    184.08,            ,    184.14,            ,
     387,    184.08,            ,    184.14,            ,
     388,    184.08,            ,    184.14,            ,
     389,    184.08,            ,    184.14,            ,
     390,    184.08,            ,    184.14,            ,
     391,    184.08,            ,    184.14,            ,
     392,    184.08,            ,    184.14,            ,
     393,    184.08,            ,    184.14,            ,
     394,    184.08,            ,    184.14,            ,
     395,    184.08,            ,    184.14,            ,
     396,    184.08,            ,    184.14,            ,
     397,    184.08,            ,    184.14,            ,
     398,    184.07,            ,    184.13,            ,
     399,    184.06,            ,    184.12,            ,
     400,    184.06,            ,    184.12,            ,
     401,    184.05,            ,    184.11,            ,
     402,    184.04,            ,    184.10,            ,
     403,    184.04,            ,    184.10,            ,
     404,    184.03,            ,    184.09,            ,
     405,    184.02,            ,    184.08,            ,
     406,    184.01,            ,    184.07,            ,
     407,    184.01,            ,    184.07,            ,
     408,    184.00,            ,    184.06,            ,
     409,    183.99,            ,    184.05,            ,
     410,    183.99,            ,    184.05,            ,
     411,    183.98,            ,    184.04,            ,
     412,    183.97,            ,    184.03,            ,
     413,    183.97,            ,    184.03,            ,
     414,    183.96,            ,    184.02,            ,
     415,    183.95,            ,    184.01,            ,
     416,    183.95,            ,    184.01,            ,
     417,    183.94,            ,    184.00,            ,
     418,    183.93,            ,    183.99,            ,
     419,    183.93,            ,    183.99,            ,
     420,    183.92,            ,    183.98,            ,
     421,    183.91,            ,    183.97,            ,
     422,    183.91,            ,    183.97,            ,
     423,    183.90,            ,    183.96,            ,
     424,    183.89,            ,    183.95,            ,
     425,    183.89,            ,    183.95,            ,
     426,    183.88,            ,    183.94,            ,
     427,    183.87,            ,    183.93,            ,
     428,    183.87,            ,    183.93,            ,
     429,    183.86,            ,    183.92,            ,
     430,    183.85,            ,    183.91,            ,
     431,    183.85,            ,    183.91,            ,
     432,    183.84,            ,    183.90,            ,
     433,    183.83,            ,    183.89,            ,
     434,    183.83,            ,    183.89,            ,
     435,    183.82,            ,    183.88,            ,
     436,    183.81,            ,    183.87,            ,
     437,    183.81,            ,    183.86,            ,
     438,    183.80,            ,    183.86,            ,
     439,    183.79,            ,    183.85,            ,
     440,    183.78,            ,    183.84,            ,
     441,    183.78,            ,    183.84,            ,
     442,    183.77,            ,    183.83,            ,
     443,    183.76,            ,    183.82,            ,
     444,    183.76,            ,    183.82,            ,
     445,    183.75,            ,    183.81,            ,
     446,    183.74,            ,    183.80,            ,
     447,    183.74,            ,    183.80,            ,
     448,    183.73,            ,    183.79,            ,
     449,    183.72,            ,    183.78,            ,
     450,    183.72,            ,    183.78,            ,
     451,    183.71,            ,    183.77,            ,
     452,    183.70,            ,    183.76,            ,
     453,    183.70,            ,    183.76,            ,
     454,    183.69,            ,    183.75,            ,
     455,    183.68,            ,    183.74,            ,
     456,    183.68,            ,    183.74,            ,
     457,    183.67,            ,    183.73,            ,
     458,    183.66,            ,    183.72,            ,
     459,    183.66,            ,    183.72,            ,
     460,    183.65,            ,    183.71,            ,
     461,    183.64,            ,    183.70,            ,
     462,    183.64,            ,    183.70,            ,
     463,    183.63,            ,    183.69,            ,
     464,    183.62,            ,    183.68,            ,
     465,    183.62,            ,    183.68,            ,
     466,    183.61,            ,    183.67,            ,
     467,    183.60,            ,    183.66,            ,
     468,    183.60,            ,    183.66,            ,
     469,    183.59,            ,    183.65,            ,
     470,    183.58,            ,    183.64,            ,
     471,    183.58,            ,    183.64,            ,
     472,    183.57,            ,    183.63,            ,
     473,    183.56,            ,    183.62,            ,
     474,    183.56,            ,    183.61,            ,
     475,    183.55,            ,    183.61,            ,
     476,    183.54,            ,    183.60,            ,
     477,    183.53,            ,    183.59,            ,
     478,    183.53,            ,    183.59,            ,
     479,    183.52,            ,    183.58,            ,
     480,    183.51,            ,    183.57,            ,
     481,    183.51,            ,    183.57,            ,
     482,    183.50,            ,    183.56,            ,
     483,    183.49,            ,    183.55,            ,
     484,    183.49,            ,    183.55,            ,
     485,    183.48,            ,    183.54,            ,
     486,    183.47,            ,    183.53,            ,
     487,    183.47,            ,    183.53,            ,
     488,    183.46,            ,    183.52,            ,
     489,    183.45,            ,    183.51,            ,
     490,    183.45,            ,    183.51,            ,
     491,    183.44,            ,    183.50,            ,
     492,    183.43,            ,    183.49,            ,
     493,    183.43,            ,    183.49,            ,
     494,    183.42,            ,    183.48,            ,
     495,    183.41,            ,    183.47,            ,
     496,    183.41,            ,    183.47,            ,
     497,    183.40,            ,    183.46,            ,
     498,    183.39,            ,    183.45,            ,
     499,    183.39,            ,    183.45,            ,
     500,    183.38,            ,    183.44,            ,
     501,    183.37,            ,    183.43,            ,
     502,    183.37,            ,    183.43,            ,
     503,    183.36,            ,    183.42,            ,
     504,    183.35,            ,    183.41,            ,
     505,    183.35,            ,    183.41,            ,
     506,    183.34,            ,    183.40,            ,
     507,    183.33,            ,    183.39,            ,
     508,    183.33,            ,    183.39,            ,
     509,    183.32,            ,    183.38,            ,
     510,    183.31,            ,    183.37,            ,
     511,    183.31,            ,    183.37,            ,
     512,    183.30,            ,    183.36,            ,
     513,    183.29,            ,    183.35,            ,
     514,    183.29,            ,    183.35,            ,
     515,    183.28,            ,    183.34,            ,
     516,    183.27,            ,    183.33,            ,
     517,    183.27,            ,    183.32,            ,
     518,    183.26,            ,    183.32,            ,
     519,    183.25,            ,    183.31,            ,
     520,    183.25,            ,    183.30,            ,
     521,    183.24,            ,    183.30,            ,
     522,    183.23,            ,    183.29,            ,
     523,    183.22,            ,    183.28,            ,
     524,    183.22,            ,    183.28,            ,
     525,    183.22,            ,    183.27,            ,
     526,    183.21,            ,    183.27,            ,
     527,    183.21,            ,    183.27,            ,
     528,    183.21,            ,    183.27,            ,
     529,    183.22,            ,    183.28,            ,
     530,    183.23,            ,    183.29,            ,
     531,    183.24,            ,    183.29,            ,
     532,    183.24,            ,    183.30,            ,
     533,    183.24,            ,    183.30,            ,
     534,    183.25,            ,    183.30,            ,
     535,    183.25,            ,    183.31,            ,
     536,    183.26,            ,    183.32,            ,
     537,    183.28,            ,    183.34,            ,
     538,    183.30,            ,    183.36,            ,
     539,    183.32,            ,    183.38,            ,
     540,    183.35,            ,    183.41,            ,
     541,    183.37,            ,    183.43,            ,
     542,    183.40,            ,    183.46,            ,
     543,    183.45,            ,    183.51,            ,
     544,    183.51,            ,    183.57,            ,
     545,    183.56,            ,    183.62,            ,
     546,    183.61,            ,    183.67,            ,
     547,    183.68,            ,    183.74,            ,
     548,    183.74,            ,    183.81,            ,
     549,    183.79,            ,    183.86,            ,
     550,    183.83,            ,    183.91,            ,
     551,    183.87,            ,    183.95,            ,
     552,    183.93,            ,    184.00,            ,
     553,    183.93,            ,    184.01,            ,
     554,    183.96,            ,    184.04,            ,
     555,    184.03,            ,    184.11,            ,
     556,    184.08,            ,    184.16,            ,
     557,    184.11,            ,    184.19,            ,
     558,    184.12,            ,    184.20,            ,
     559,    184.13,            ,    184.21,            ,
     560,    184.19,            ,    184.27,            ,
     561,    184.24,            ,    184.32,            ,
     562,    184.30,            ,    184.38,            ,
     563,    184.32,            ,    184.41,            ,
     564,    184.35,            ,    184.43,            ,
     565,    184.41,            ,    184.49,            ,
     566,    184.52,            ,    184.60,            ,
     567,    184.63,            ,    184.71,            ,
     568,    184.71,            ,    184.79,            ,
     569,    184.79,            ,    184.87,            ,
     570,    184.87,            ,    184.96,            ,
     571,    184.94,            ,    185.03,            ,
     572,    185.01,            ,    185.09,            ,
     573,    185.08,            ,    185.16,            ,
     574,    185.15,            ,    185.23,            ,
     575,    185.22,            ,    185.30,            ,
     576,    185.30,            ,    185.38,            ,
     577,    185.33,            ,    185.41,            ,
     578,    185.36,            ,    185.44,            ,
     579,    185.39,            ,    185.47,            ,
     580,    185.41,            ,    185.49,            ,
     581,    185.43,            ,    185.51,            ,
     582,    185.44,            ,    185.53,            ,
     583,    185.52,            ,    185.60,            ,
     584,    185.59,            ,    185.67,            ,
     585,    185.63,            ,    185.72,            ,
     586,    185.69,            ,    185.77,            ,
     587,    185.71,            ,    185.80,            ,
     588,    185.74,            ,    185.82,            ,
     589,    185.79,            ,    185.87,            ,
     590,    185.86,            ,    185.94,            ,
     591,    185.92,            ,    186.00,            ,
     592,    185.97,            ,    186.05,            ,
     593,    185.99,            ,    186.08,            ,
     594,    186.05,            ,    186.14,            ,
     595,    186.11,            ,    186.20,            ,
     596,    186.17,            ,    186.25,            ,
     597,    186.21,            ,    186.30,            ,
     598,    186.23,            ,    186.32,            ,
     599,    186.25,            ,    186.34,            ,
     600,    186.33,            ,    186.42,            ,
     601,    186.36,            ,    186.45,            ,
     602,    186.40,            ,    186.49,            ,
     603,    186.43,            ,    186.52,            ,
     604,    186.46,            ,    186.55,            ,
     605,    186.51,            ,    186.60,            ,
     606,    186.56,            ,    186.65,            ,
     607,    186.59,            ,    186.68,            ,
     608,    186.60,            ,    186.69,            ,
     609,    186.62,            ,    186.71,            ,
     610,    186.66,            ,    186.75,            ,
     611,    186.67,            ,    186.76,            ,
     612,    186.68,            ,    186.77,            ,
     613,    186.69,            ,    186.78,            ,
     614,    186.71,            ,    186.80,            ,
     615,    186.72,            ,    186.81,            ,
     616,    186.73,            ,    186.82,            ,
     617,    186.79,            ,    186.88,            ,
     618,    186.83,            ,    186.92,            ,
     619,    186.87,            ,    186.96,            ,
     620,    186.93,            ,    187.02,            ,
     621,    186.95,            ,    187.04,            ,
     622,    186.96,            ,    187.05,            ,
     623,    186.98,            ,    187.07,            ,
     624,    187.00,            ,    187.09,            ,
     625,    187.00,            ,    187.09,            ,
     626,    187.00,            ,    187.09,            ,
     627,    186.99,            ,    187.08,            ,
     628,    186.99,            ,    187.08,            ,
     629,    186.99,            ,    187.08,            ,
     630,    186.99,            ,    187.07,            ,
     631,    186.99,            ,    187.08,            ,
     632,    187.02,            ,    187.11,            ,
     633,    187.07,            ,    187.16,            ,
     634,    187.07,            ,    187.16,            ,
     635,    187.07,            ,    187.16,            ,
     636,    187.07,            ,    187.16,            ,
     637,    187.08,            ,    187.17,            ,
     638,    187.10,            ,    187.19,            ,
     639,    187.14,            ,    187.23,            ,
     640,    187.15,            ,    187.24,            ,
     641,    187.16,            ,    187.25,            ,
     642,    187.18,            ,    187.27,            ,
     643,    187.19,            ,    187.28,            ,
     644,    187.20,            ,    187.29,            ,
     645,    187.24,            ,    187.33,            ,
     646,    187.24,            ,    187.33,            ,
     647,    187.25,            ,    187.34,            ,
     648,    187.25,            ,    187.34,            ,
     649,    187.26,            ,    187.35,            ,
     650,    187.26,            ,    187.35,            ,
     651,    187.26,            ,    187.35,            ,
     652,    187.26,            ,    187.35,            ,
     653,    187.26,            ,    187.35,            ,
     654,    187.26,            ,    187.35,            ,
     655,    187.25,            ,    187.34,            ,
     656,    187.24,            ,    187.33,            ,
     657,    187.24,            ,    187.33,            ,
     658,    187.24,            ,    187.33,            ,
     659,    187.24,            ,    187.33,            ,
     660,    187.23,            ,    187.32,            ,
     661,    187.23,            ,    187.31,            ,
     662,    187.22,            ,    187.31,            ,
     663,    187.21,            ,    187.30,            ,
     664,    187.21,            ,    187.30,            ,
     665,    187.22,            ,    187.31,            ,
     666,    187.22,            ,    187.31,            ,
     667,    187.23,            ,    187.32,            ,
     668,    187.24,            ,    187.33,            ,
     669,    187.24,            ,    187.33,            ,
     670,    187.23,            ,    187.32,            ,
     671,    187.23,            ,    187.32,            ,
     672,    187.22,            ,    187.31,            ,
     673,    187.22,            ,    187.31,            ,
     674,    187.21,            ,    187.30,            ,
     675,    187.20,            ,    187.29,            ,
     676,    187.20,            ,    187.29,            ,
     677,    187.19,            ,    187.28,            ,
     678,    187.18,            ,    187.27,            ,
     679,    187.18,            ,    187.26,            ,
     680,    187.17,            ,    187.26,            ,
     681,    187.16,            ,    187.25,            ,
     682,    187.15,            ,    187.24,            ,
     683,    187.15,            ,    187.24,            ,
     684,    187.14,            ,    187.23,            ,
     685,    187.13,            ,    187.22,            ,
     686,    187.13,            ,    187.22,            ,
     687,    187.12,            ,    187.21,            ,
     688,    187.11,            ,    187.20,            ,
     689,    187.11,            ,    187.20,            ,
     690,    187.10,            ,    187.19,            ,
     691,    187.09,            ,    187.18,            ,
     692,    187.09,            ,    187.18,            ,
     693,    187.08,            ,    187.17,            ,
     694,    187.07,            ,    187.16,            ,
