 model_time, LAI_sub_sim_0116, LAI_sub_obs_0116, LAI_sub_sim_0178, LAI_sub_obs_0178,
     127,      0.27,            ,      0.27,            ,
     128,      0.27,            ,      0.27,            ,
     129,      0.27,            ,      0.27,            ,
     130,      0.29,            ,      0.30,            ,
     131,      0.29,            ,      0.30,            ,
     132,      0.30,            ,      0.30,            ,
     133,      0.32,            ,      0.32,            ,
     134,      0.32,            ,      0.32,            ,
     135,      0.35,            ,      0.35,            ,
     136,      0.38,            ,      0.38,            ,
     137,      0.41,            ,      0.41,            ,
     138,      0.41,            ,      0.41,            ,
     139,      0.46,            ,      0.46,            ,
     140,      0.54,            ,      0.54,            ,
     141,      0.62,            ,      0.62,            ,
     142,      0.70,            ,      0.70,            ,
     143,      0.78,            ,      0.78,            ,
     144,      0.82,            ,      0.82,            ,
     145,      0.86,            ,      0.86,            ,
     146,      0.92,            ,      0.92,            ,
     147,      0.97,            ,      0.97,            ,
     148,      1.02,            ,      1.02,            ,
     149,      1.10,            ,      1.10,            ,
     150,      1.17,            ,      1.17,            ,
     151,      1.23,            ,      1.23,            ,
     152,      1.28,            ,      1.29,            ,
     153,      1.34,            ,      1.34,            ,
     154,      1.41,            ,      1.41,            ,
     155,      1.51,            ,      1.51,            ,
     156,      1.61,            ,      1.61,            ,
     157,      1.73,            ,      1.74,            ,
     158,      1.87,            ,      1.87,            ,
     159,      2.02,            ,      2.02,            ,
     160,      2.14,            ,      2.14,            ,
     161,      2.27,            ,      2.28,            ,
     162,      2.48,            ,      2.49,            ,
     163,      2.75,            ,      2.75,            ,
     164,      2.95,            ,      2.95,            ,
     165,      3.16,            ,      3.17,            ,
     166,      3.28,            ,      3.28,            ,
     167,      3.38,            ,      3.39,            ,
     168,      3.52,            ,      3.52,            ,
     169,      3.68,            ,      3.69,            ,
     170,      3.81,            ,      3.82,            ,
     171,      3.96,            ,      3.96,            ,
     172,      4.12,            ,      4.12,            ,
     173,      4.16,            ,      4.17,            ,
     174,      4.21,            ,      4.22,            ,
     175,      4.26,            ,      4.26,            ,
     176,      4.26,            ,      4.27,            ,
     177,      4.26,            ,      4.27,            ,
     178,      4.35,            ,      4.35,            ,
     179,      4.44,            ,      4.44,            ,
     180,      4.47,            ,      4.48,            ,
     181,      4.51,            ,      4.51,            ,
     182,      4.56,            ,      4.56,            ,
     183,      4.62,            ,      4.63,            ,
     184,      4.66,            ,      4.66,            ,
     185,      4.70,            ,      4.70,            ,
     186,      4.73,            ,      4.73,            ,
     187,      4.78,            ,      4.78,            ,
     188,      4.82,            ,      4.82,            ,
     189,      4.85,            ,      4.85,            ,
     190,      4.87,            ,      4.87,            ,
     191,      4.90,            ,      4.90,            ,
     192,      4.93,            ,      4.93,            ,
     193,      4.96,            ,      4.96,            ,
     194,      4.97,            ,      4.98,            ,
     195,      4.98,            ,      4.99,            ,
     196,      5.00,            ,      5.00,            ,
     197,      5.02,            ,      5.02,            ,
     198,      5.03,            ,      5.04,            ,
     199,      5.04,            ,      5.05,            ,
     200,      5.06,            ,      5.06,            ,
     201,      5.07,            ,      5.08,            ,
     202,      5.08,            ,      5.08,            ,
     203,      5.08,            ,      5.09,            ,
     204,      5.10,            ,      5.10,            ,
     205,      5.11,            ,      5.12,            ,
     206,      5.12,            ,      5.13,            ,
     207,      5.14,            ,      5.14,            ,
     208,      5.15,            ,      5.15,            ,
     209,      5.16,            ,      5.17,            ,
     210,      5.17,            ,      5.17,            ,
     211,      5.16,            ,      5.17,            ,
     212,      5.18,            ,      5.18,            ,
     213,      5.18,            ,      5.19,            ,
     214,      5.19,            ,      5.20,            ,
     215,      5.19,            ,      5.20,            ,
     216,      5.20,            ,      5.21,            ,
     217,      5.21,            ,      5.22,            ,
     218,      5.22,            ,      5.23,            ,
     219,      5.23,            ,      5.24,            ,
     220,      5.23,            ,      5.24,            ,
     221,      5.24,            ,      5.25,            ,
     222,      5.25,            ,      5.26,            ,
     223,      5.26,            ,      5.26,            ,
     224,      5.26,            ,      5.27,            ,
     225,      5.27,            ,      5.28,            ,
     226,      5.28,            ,      5.28,            ,
     227,      5.28,            ,      5.29,            ,
     228,      5.29,            ,      5.29,            ,
     229,      5.29,            ,      5.30,            ,
     230,      5.30,            ,      5.31,            ,
     231,      5.31,            ,      5.31,            ,
     232,      5.31,            ,      5.32,            ,
     233,      5.32,            ,      5.32,            ,
     234,      5.33,            ,      5.33,            ,
     235,      5.33,            ,      5.33,            ,
     236,      5.33,            ,      5.33,            ,
     237,      5.33,            ,      5.33,            ,
     238,      5.33,            ,      5.33,            ,
     239,      5.33,            ,      5.34,            ,
     240,      5.33,            ,      5.33,            ,
     241,      5.33,            ,      5.34,            ,
     242,      5.34,            ,      5.34,            ,
     243,      5.34,            ,      5.34,            ,
     244,      5.34,            ,      5.34,            ,
     245,      5.34,            ,      5.34,            ,
     246,      5.34,            ,      5.34,            ,
     247,      5.34,            ,      5.34,            ,
     248,      5.34,            ,      5.34,            ,
     249,      5.34,            ,      5.34,            ,
     250,      5.34,            ,      5.34,            ,
     251,      5.34,            ,      5.34,            ,
     252,      5.34,            ,      5.35,            ,
     253,      5.33,            ,      5.33,            ,
     254,      5.33,            ,      5.33,            ,
     255,      5.33,            ,      5.33,            ,
     256,      5.33,            ,      5.33,            ,
     257,      5.34,            ,      5.34,            ,
     258,      5.34,            ,      5.34,            ,
     259,      5.33,            ,      5.33,            ,
     260,      5.32,            ,      5.32,            ,
     261,      5.31,            ,      5.31,            ,
     262,      5.30,            ,      5.30,            ,
     263,      5.29,            ,      5.29,            ,
     264,      5.28,            ,      5.28,            ,
     265,      5.26,            ,      5.27,            ,
     266,      5.25,            ,      5.25,            ,
     267,      5.24,            ,      5.24,            ,
     268,      5.23,            ,      5.23,            ,
     269,      5.22,            ,      5.22,            ,
     270,      5.22,            ,      5.22,            ,
     271,      5.21,            ,      5.22,            ,
     272,      5.20,            ,      5.20,            ,
     273,      5.19,            ,      5.19,            ,
     274,      5.18,            ,      5.18,            ,
     275,      5.17,            ,      5.17,            ,
     276,      5.15,            ,      5.16,            ,
     277,      5.14,            ,      5.14,            ,
     278,      5.13,            ,      5.13,            ,
     279,      5.12,            ,      5.12,            ,
     280,      5.11,            ,      5.11,            ,
     281,      5.09,            ,      5.10,            ,
     282,      5.08,            ,      5.08,            ,
     283,      4.64,            ,      4.64,            ,
     284,      4.24,            ,      4.24,            ,
     285,      3.87,            ,      3.87,            ,
     286,      3.53,            ,      3.54,            ,
     287,      3.23,            ,      3.23,            ,
     288,      2.95,            ,      2.95,            ,
     289,      2.69,            ,      2.69,            ,
     290,      2.46,            ,      2.46,            ,
     291,      2.25,            ,      2.25,            ,
     292,      2.05,            ,      2.05,            ,
     293,      1.87,            ,      1.87,            ,
     294,      1.71,            ,      1.71,            ,
     295,      1.56,            ,      1.56,            ,
     296,      1.43,            ,      1.43,            ,
     297,      1.30,            ,      1.30,            ,
     298,      1.19,            ,      1.19,            ,
     299,      1.09,            ,      1.09,            ,
     300,      0.99,            ,      0.99,            ,
     301,      0.90,            ,      0.90,            ,
     302,      0.83,            ,      0.83,            ,
     303,      0.75,            ,      0.75,            ,
     304,      0.69,            ,      0.69,            ,
     305,      0.63,            ,      0.63,            ,
     306,      0.57,            ,      0.57,            ,
     307,      0.52,            ,      0.52,            ,
     308,      0.48,            ,      0.48,            ,
     309,      0.44,            ,      0.44,            ,
     310,      0.40,            ,      0.40,            ,
     311,      0.36,            ,      0.36,            ,
     312,      0.33,            ,      0.33,            ,
     313,      0.30,            ,      0.30,            ,
     314,      0.28,            ,      0.28,            ,
     315,      0.27,            ,      0.27,            ,
     316,      0.27,            ,      0.27,            ,
     317,      0.27,            ,      0.27,            ,
     318,      0.27,            ,      0.27,            ,
     319,      0.27,            ,      0.27,            ,
     320,      0.27,            ,      0.27,            ,
     321,      0.27,            ,      0.27,            ,
     322,      0.27,            ,      0.27,            ,
     323,      0.27,            ,      0.27,            ,
     324,      0.27,            ,      0.27,            ,
     325,      0.27,            ,      0.27,            ,
     326,      0.27,            ,      0.27,            ,
     327,      0.27,            ,      0.27,            ,
     328,      0.27,            ,      0.27,            ,
     329,      0.27,            ,      0.27,            ,
     330,      0.27,            ,      0.27,            ,
     331,      0.27,            ,      0.27,            ,
     332,      0.27,            ,      0.27,            ,
     333,      0.27,            ,      0.27,            ,
     334,      0.27,            ,      0.27,            ,
     335,      0.27,            ,      0.27,            ,
     336,      0.27,            ,      0.27,            ,
     337,      0.27,            ,      0.27,            ,
     338,      0.27,            ,      0.27,            ,
     339,      0.27,            ,      0.27,            ,
     340,      0.27,            ,      0.27,            ,
     341,      0.27,            ,      0.27,            ,
     342,      0.27,            ,      0.27,            ,
     343,      0.27,            ,      0.27,            ,
     344,      0.27,            ,      0.27,            ,
     345,      0.27,            ,      0.27,            ,
     346,      0.27,            ,      0.27,            ,
     347,      0.27,            ,      0.27,            ,
     348,      0.27,            ,      0.27,            ,
     349,      0.27,            ,      0.27,            ,
     350,      0.27,            ,      0.27,            ,
     351,      0.27,            ,      0.27,            ,
     352,      0.27,            ,      0.27,            ,
     353,      0.27,            ,      0.27,            ,
     354,      0.27,            ,      0.27,            ,
     355,      0.27,            ,      0.27,            ,
     356,      0.27,            ,      0.27,            ,
     357,      0.27,            ,      0.27,            ,
     358,      0.27,            ,      0.27,            ,
     359,      0.27,            ,      0.27,            ,
     360,      0.27,            ,      0.27,            ,
     361,      0.27,            ,      0.27,            ,
     362,      0.27,            ,      0.27,            ,
     363,      0.27,            ,      0.27,            ,
     364,      0.27,            ,      0.27,            ,
     365,      0.27,            ,      0.27,            ,
     366,      0.27,            ,      0.27,            ,
     367,      0.27,            ,      0.27,            ,
     368,      0.27,            ,      0.27,            ,
     369,      0.27,            ,      0.27,            ,
     370,      0.27,            ,      0.27,            ,
     371,      0.27,            ,      0.27,            ,
     372,      0.27,            ,      0.27,            ,
     373,      0.27,            ,      0.27,            ,
     374,      0.27,            ,      0.27,            ,
     375,      0.27,            ,      0.27,            ,
     376,      0.27,            ,      0.27,            ,
     377,      0.27,            ,      0.27,            ,
     378,      0.27,            ,      0.27,            ,
     379,      0.27,            ,      0.27,            ,
     380,      0.27,            ,      0.27,            ,
     381,      0.27,            ,      0.27,            ,
     382,      0.27,            ,      0.27,            ,
     383,      0.27,            ,      0.27,            ,
     384,      0.27,            ,      0.27,            ,
     385,      0.27,            ,      0.27,            ,
     386,      0.27,            ,      0.27,            ,
     387,      0.27,            ,      0.27,            ,
     388,      0.27,            ,      0.27,            ,
     389,      0.27,            ,      0.27,            ,
     390,      0.27,            ,      0.27,            ,
     391,      0.27,            ,      0.27,            ,
     392,      0.27,            ,      0.27,            ,
     393,      0.27,            ,      0.27,            ,
     394,      0.27,            ,      0.27,            ,
     395,      0.27,            ,      0.27,            ,
     396,      0.27,            ,      0.27,            ,
     397,      0.27,            ,      0.27,            ,
     398,      0.27,            ,      0.27,            ,
     399,      0.27,            ,      0.27,            ,
     400,      0.27,            ,      0.27,            ,
     401,      0.27,            ,      0.27,            ,
     402,      0.27,            ,      0.27,            ,
     403,      0.27,            ,      0.27,            ,
     404,      0.27,            ,      0.27,            ,
     405,      0.27,            ,      0.27,            ,
     406,      0.27,            ,      0.27,            ,
     407,      0.27,            ,      0.27,            ,
     408,      0.27,            ,      0.27,            ,
     409,      0.27,            ,      0.27,            ,
     410,      0.27,            ,      0.27,            ,
     411,      0.27,            ,      0.27,            ,
     412,      0.27,            ,      0.27,            ,
     413,      0.27,            ,      0.27,            ,
     414,      0.27,            ,      0.27,            ,
     415,      0.27,            ,      0.27,            ,
     416,      0.27,            ,      0.27,            ,
     417,      0.27,            ,      0.27,            ,
     418,      0.27,            ,      0.27,            ,
     419,      0.27,            ,      0.27,            ,
     420,      0.27,            ,      0.27,            ,
     421,      0.27,            ,      0.27,            ,
     422,      0.27,            ,      0.27,            ,
     423,      0.27,            ,      0.27,            ,
     424,      0.27,            ,      0.27,            ,
     425,      0.27,            ,      0.27,            ,
     426,      0.27,            ,      0.27,            ,
     427,      0.27,            ,      0.27,            ,
     428,      0.27,            ,      0.27,            ,
     429,      0.27,            ,      0.27,            ,
     430,      0.27,            ,      0.27,            ,
     431,      0.27,            ,      0.27,            ,
     432,      0.27,            ,      0.27,            ,
     433,      0.27,            ,      0.27,            ,
     434,      0.27,            ,      0.27,            ,
     435,      0.27,            ,      0.27,            ,
     436,      0.27,            ,      0.27,            ,
     437,      0.27,            ,      0.27,            ,
     438,      0.27,            ,      0.27,            ,
     439,      0.27,            ,      0.27,            ,
     440,      0.27,            ,      0.27,            ,
     441,      0.27,            ,      0.27,            ,
     442,      0.27,            ,      0.27,            ,
     443,      0.27,            ,      0.27,            ,
     444,      0.27,            ,      0.27,            ,
     445,      0.27,            ,      0.27,            ,
     446,      0.27,            ,      0.27,            ,
     447,      0.27,            ,      0.27,            ,
     448,      0.27,            ,      0.27,            ,
     449,      0.27,            ,      0.27,            ,
     450,      0.27,            ,      0.27,            ,
     451,      0.27,            ,      0.27,            ,
     452,      0.27,            ,      0.27,            ,
     453,      0.27,            ,      0.27,            ,
     454,      0.27,            ,      0.27,            ,
     455,      0.27,            ,      0.27,            ,
     456,      0.27,            ,      0.27,            ,
     457,      0.27,            ,      0.27,            ,
     458,      0.27,            ,      0.27,            ,
     459,      0.27,            ,      0.27,            ,
     460,      0.27,            ,      0.27,            ,
     461,      0.27,            ,      0.27,            ,
     462,      0.27,            ,      0.27,            ,
     463,      0.27,            ,      0.27,            ,
     464,      0.27,            ,      0.27,            ,
     465,      0.27,            ,      0.27,            ,
     466,      0.27,            ,      0.27,            ,
     467,      0.27,            ,      0.27,            ,
     468,      0.27,            ,      0.27,            ,
     469,      0.27,            ,      0.27,            ,
     470,      0.27,            ,      0.27,            ,
     471,      0.27,            ,      0.27,            ,
     472,      0.27,            ,      0.27,            ,
     473,      0.27,            ,      0.27,            ,
     474,      0.27,            ,      0.27,            ,
     475,      0.27,            ,      0.27,            ,
     476,      0.27,            ,      0.27,            ,
     477,      0.27,            ,      0.27,            ,
     478,      0.27,            ,      0.27,            ,
     479,      0.27,            ,      0.27,            ,
     480,      0.27,            ,      0.27,            ,
     481,      0.27,            ,      0.27,            ,
     482,      0.27,            ,      0.27,            ,
     483,      0.27,            ,      0.27,            ,
     484,      0.27,            ,      0.27,            ,
     485,      0.27,            ,      0.27,            ,
     486,      0.27,            ,      0.27,            ,
     487,      0.27,            ,      0.27,            ,
     488,      0.27,            ,      0.27,            ,
     489,      0.27,            ,      0.27,            ,
     490,      0.27,            ,      0.27,            ,
     491,      0.27,            ,      0.27,            ,
     492,      0.27,            ,      0.27,            ,
     493,      0.27,            ,      0.27,            ,
     494,      0.27,            ,      0.27,            ,
     495,      0.31,            ,      0.31,            ,
     496,      0.32,            ,      0.32,            ,
     497,      0.33,            ,      0.33,            ,
     498,      0.39,            ,      0.40,            ,
     499,      0.43,            ,      0.43,            ,
     500,      0.46,            ,      0.46,            ,
     501,      0.50,            ,      0.51,            ,
     502,      0.53,            ,      0.54,            ,
     503,      0.57,            ,      0.57,            ,
     504,      0.63,            ,      0.63,            ,
     505,      0.71,            ,      0.71,            ,
     506,      0.77,            ,      0.77,            ,
     507,      0.86,            ,      0.87,            ,
     508,      0.98,            ,      0.98,            ,
     509,      1.12,            ,      1.12,            ,
     510,      1.27,            ,      1.27,            ,
     511,      1.43,            ,      1.43,            ,
     512,      1.58,            ,      1.58,            ,
     513,      1.71,            ,      1.71,            ,
     514,      1.80,            ,      1.80,            ,
     515,      1.92,            ,      1.92,            ,
     516,      2.02,            ,      2.02,            ,
     517,      2.13,            ,      2.13,            ,
     518,      2.25,            ,      2.25,            ,
     519,      2.25,            ,      2.25,            ,
     520,      2.30,            ,      2.30,            ,
     521,      2.50,            ,      2.50,            ,
     522,      2.75,            ,      2.75,            ,
     523,      2.97,            ,      2.97,            ,
     524,      3.08,            ,      3.07,            ,
     525,      3.11,            ,      3.10,            ,
     526,      3.14,            ,      3.14,            ,
     527,      3.16,            ,      3.16,            ,
     528,      3.19,            ,      3.19,            ,
     529,      3.26,            ,      3.25,            ,
     530,      3.28,            ,      3.27,            ,
     531,      3.30,            ,      3.30,            ,
     532,      3.32,            ,      3.31,            ,
     533,      3.33,            ,      3.33,            ,
     534,      3.34,            ,      3.33,            ,
     535,      3.35,            ,      3.35,            ,
     536,      3.38,            ,      3.38,            ,
     537,      3.41,            ,      3.41,            ,
     538,      3.44,            ,      3.44,            ,
     539,      3.46,            ,      3.46,            ,
     540,      3.50,            ,      3.50,            ,
     541,      3.52,            ,      3.52,            ,
     542,      3.54,            ,      3.54,            ,
     543,      3.59,            ,      3.59,            ,
     544,      3.63,            ,      3.63,            ,
     545,      3.66,            ,      3.66,            ,
     546,      3.68,            ,      3.68,            ,
     547,      3.71,            ,      3.71,            ,
     548,      3.73,            ,      3.74,            ,
     549,      3.75,            ,      3.75,            ,
     550,      3.76,            ,      3.77,            ,
     551,      3.77,            ,      3.78,            ,
     552,      3.79,            ,      3.79,            ,
     553,      3.79,            ,      3.80,            ,
     554,      3.80,            ,      3.80,            ,
     555,      3.81,            ,      3.82,            ,
     556,      3.83,            ,      3.83,            ,
     557,      3.83,            ,      3.84,            ,
     558,      3.83,            ,      3.84,            ,
     559,      3.83,            ,      3.84,            ,
     560,      3.84,            ,      3.85,            ,
     561,      3.85,            ,      3.86,            ,
     562,      3.86,            ,      3.87,            ,
     563,      3.87,            ,      3.87,            ,
     564,      3.87,            ,      3.87,            ,
     565,      3.88,            ,      3.88,            ,
     566,      3.89,            ,      3.90,            ,
     567,      3.90,            ,      3.91,            ,
     568,      3.91,            ,      3.91,            ,
     569,      3.92,            ,      3.92,            ,
     570,      3.93,            ,      3.93,            ,
     571,      3.93,            ,      3.93,            ,
     572,      3.93,            ,      3.94,            ,
     573,      3.94,            ,      3.94,            ,
     574,      3.94,            ,      3.95,            ,
     575,      3.95,            ,      3.95,            ,
     576,      3.95,            ,      3.95,            ,
     577,      3.95,            ,      3.95,            ,
     578,      3.95,            ,      3.95,            ,
     579,      3.95,            ,      3.96,            ,
     580,      3.95,            ,      3.95,            ,
     581,      3.95,            ,      3.95,            ,
     582,      3.95,            ,      3.95,            ,
     583,      3.96,            ,      3.96,            ,
     584,      3.96,            ,      3.96,            ,
     585,      3.96,            ,      3.96,            ,
     586,      3.96,            ,      3.96,            ,
     587,      3.95,            ,      3.96,            ,
     588,      3.95,            ,      3.95,            ,
     589,      3.94,            ,      3.95,            ,
     590,      3.95,            ,      3.95,            ,
     591,      3.95,            ,      3.95,            ,
     592,      3.95,            ,      3.95,            ,
     593,      3.95,            ,      3.95,            ,
     594,      3.95,            ,      3.96,            ,
     595,      3.96,            ,      3.96,            ,
     596,      3.96,            ,      3.96,            ,
     597,      3.96,            ,      3.96,            ,
     598,      3.96,            ,      3.96,            ,
     599,      3.96,            ,      3.96,            ,
     600,      3.96,            ,      3.96,            ,
     601,      3.96,            ,      3.96,            ,
     602,      3.96,            ,      3.96,            ,
     603,      3.96,            ,      3.97,            ,
     604,      3.96,            ,      3.96,            ,
     605,      3.96,            ,      3.97,            ,
     606,      3.96,            ,      3.96,            ,
     607,      3.95,            ,      3.95,            ,
     608,      3.94,            ,      3.94,            ,
     609,      3.94,            ,      3.94,            ,
     610,      3.94,            ,      3.94,            ,
     611,      3.94,            ,      3.94,            ,
     612,      3.94,            ,      3.94,            ,
     613,      3.93,            ,      3.93,            ,
     614,      3.93,            ,      3.93,            ,
     615,      3.93,            ,      3.93,            ,
     616,      3.93,            ,      3.93,            ,
     617,      3.93,            ,      3.93,            ,
     618,      3.92,            ,      3.93,            ,
     619,      3.93,            ,      3.93,            ,
     620,      3.93,            ,      3.93,            ,
     621,      3.93,            ,      3.93,            ,
     622,      3.93,            ,      3.93,            ,
     623,      3.93,            ,      3.93,            ,
     624,      3.93,            ,      3.94,            ,
     625,      3.93,            ,      3.93,            ,
     626,      3.92,            ,      3.92,            ,
     627,      3.91,            ,      3.91,            ,
     628,      3.89,            ,      3.90,            ,
     629,      3.89,            ,      3.89,            ,
     630,      3.88,            ,      3.88,            ,
     631,      3.87,            ,      3.87,            ,
     632,      3.87,            ,      3.87,            ,
     633,      3.87,            ,      3.87,            ,
     634,      3.86,            ,      3.86,            ,
     635,      3.85,            ,      3.85,            ,
     636,      3.85,            ,      3.85,            ,
     637,      3.85,            ,      3.85,            ,
     638,      3.86,            ,      3.86,            ,
     639,      3.86,            ,      3.86,            ,
     640,      3.86,            ,      3.86,            ,
     641,      3.86,            ,      3.86,            ,
     642,      3.85,            ,      3.86,            ,
     643,      3.85,            ,      3.85,            ,
     644,      3.84,            ,      3.84,            ,
     645,      3.85,            ,      3.85,            ,
     646,      3.85,            ,      3.85,            ,
     647,      3.85,            ,      3.85,            ,
     648,      3.51,            ,      3.52,            ,
     649,      3.21,            ,      3.21,            ,
     650,      2.94,            ,      2.94,            ,
     651,      2.68,            ,      2.69,            ,
     652,      2.45,            ,      2.45,            ,
     653,      2.24,            ,      2.24,            ,
     654,      2.04,            ,      2.05,            ,
     655,      1.87,            ,      1.87,            ,
     656,      1.70,            ,      1.70,            ,
     657,      1.56,            ,      1.56,            ,
     658,      1.42,            ,      1.42,            ,
     659,      1.30,            ,      1.30,            ,
     660,      1.19,            ,      1.19,            ,
     661,      1.08,            ,      1.08,            ,
     662,      0.99,            ,      0.99,            ,
     663,      0.90,            ,      0.90,            ,
     664,      0.82,            ,      0.82,            ,
     665,      0.75,            ,      0.75,            ,
     666,      0.69,            ,      0.69,            ,
     667,      0.63,            ,      0.63,            ,
     668,      0.57,            ,      0.57,            ,
     669,      0.53,            ,      0.53,            ,
     670,      0.48,            ,      0.48,            ,
     671,      0.44,            ,      0.44,            ,
     672,      0.40,            ,      0.40,            ,
     673,      0.37,            ,      0.37,            ,
     674,      0.33,            ,      0.33,            ,
     675,      0.30,            ,      0.30,            ,
     676,      0.28,            ,      0.28,            ,
     677,      0.27,            ,      0.27,            ,
     678,      0.27,            ,      0.27,            ,
     679,      0.27,            ,      0.27,            ,
     680,      0.27,            ,      0.27,            ,
     681,      0.27,            ,      0.27,            ,
     682,      0.27,            ,      0.27,            ,
     683,      0.27,            ,      0.27,            ,
     684,      0.27,            ,      0.27,            ,
     685,      0.27,            ,      0.27,            ,
     686,      0.27,            ,      0.27,            ,
     687,      0.27,            ,      0.27,            ,
     688,      0.27,            ,      0.27,            ,
     689,      0.27,            ,      0.27,            ,
     690,      0.27,            ,      0.27,            ,
     691,      0.27,            ,      0.27,            ,
     692,      0.27,            ,      0.27,            ,
     693,      0.27,            ,      0.27,            ,
     694,      0.27,            ,      0.27,            ,
